Tag Name,json Object ID,Data Type,Respect Data Type,Client Access,comment
View_TagName.F1FBOFA2_HVAVA_VV_004_TE00A,Channel2.Device1.View_TagName.F1FBOFA2_HVAVA_VV_004_TE00A,,,,F1FBOFA2_HVAVA_VV_004_TE00A
View_TagName.F1FBOFA2_HVAVA_VV_005_TE00A,Channel2.Device1.View_TagName.F1FBOFA2_HVAVA_VV_005_TE00A,,,,F1FBOFA2_HVAVA_VV_005_TE00A
View_TagName.F1FBOFA2_HVAVA_VV_006_TE00A,Channel2.Device1.View_TagName.F1FBOFA2_HVAVA_VV_006_TE00A,,,,F1FBOFA2_HVAVA_VV_006_TE00A
View_TagName.F1FBOFB2_HVAVA_VH_001_TE00A,Channel2.Device1.View_TagName.F1FBOFB2_HVAVA_VH_001_TE00A,,,,F1FBOFB2_HVAVA_VH_001_TE00A
View_TagName.F1FBOFB2_HVAVA_VH_002_TE00A,Channel2.Device1.View_TagName.F1FBOFB2_HVAVA_VH_002_TE00A,,,,F1FBOFB2_HVAVA_VH_002_TE00A
View_TagName.F1FBOFB2_HVAVA_VV_001_TE00A,Channel2.Device1.View_TagName.F1FBOFB2_HVAVA_VV_001_TE00A,,,,F1FBOFB2_HVAVA_VV_001_TE00A
View_TagName.F1FBOFB2_HVAVA_VV_002_TE00A,Channel2.Device1.View_TagName.F1FBOFB2_HVAVA_VV_002_TE00A,,,,F1FBOFB2_HVAVA_VV_002_TE00A
View_TagName.F1FBOFB2_HVAVA_VV_003_TE00A,Channel2.Device1.View_TagName.F1FBOFB2_HVAVA_VV_003_TE00A,,,,F1FBOFB2_HVAVA_VV_003_TE00A
View_TagName.F1FBOFB2_HVAVA_VV_004_TE00A,Channel2.Device1.View_TagName.F1FBOFB2_HVAVA_VV_004_TE00A,,,,F1FBOFB2_HVAVA_VV_004_TE00A
View_TagName.F1FBOFB2_HVAVA_VV_005_TE00A,Channel2.Device1.View_TagName.F1FBOFB2_HVAVA_VV_005_TE00A,,,,F1FBOFB2_HVAVA_VV_005_TE00A
View_TagName.F1FBOFB2_HVAVA_VV_006_TE00A,Channel2.Device1.View_TagName.F1FBOFB2_HVAVA_VV_006_TE00A,,,,F1FBOFB2_HVAVA_VV_006_TE00A
View_TagName.F1FBOFB2_HVAVA_VV_007_TE00A,Channel2.Device1.View_TagName.F1FBOFB2_HVAVA_VV_007_TE00A,,,,F1FBOFB2_HVAVA_VV_007_TE00A
View_TagName.F1FBOFC1_HVAVA_VH_001_TE00A,Channel2.Device1.View_TagName.F1FBOFC1_HVAVA_VH_001_TE00A,,,,F1FBOFC1_HVAVA_VH_001_TE00A
View_TagName.F1FBOFC1_HVAVA_VV_001_TE00A,Channel2.Device1.View_TagName.F1FBOFC1_HVAVA_VV_001_TE00A,,,,F1FBOFC1_HVAVA_VV_001_TE00A
View_TagName.F1FBOFC1_HVAVA_VV_002_TE00A,Channel2.Device1.View_TagName.F1FBOFC1_HVAVA_VV_002_TE00A,,,,F1FBOFC1_HVAVA_VV_002_TE00A
View_TagName.F1FBOFC2_HVAVA_VH_001_TE00A,Channel2.Device1.View_TagName.F1FBOFC2_HVAVA_VH_001_TE00A,,,,F1FBOFC2_HVAVA_VH_001_TE00A
View_TagName.F1FBOFC2_HVAVA_VH_002_TE00A,Channel2.Device1.View_TagName.F1FBOFC2_HVAVA_VH_002_TE00A,,,,F1FBOFC2_HVAVA_VH_002_TE00A
View_TagName.F1FBOFC2_HVAVA_VH_003_TE00A,Channel2.Device1.View_TagName.F1FBOFC2_HVAVA_VH_003_TE00A,,,,F1FBOFC2_HVAVA_VH_003_TE00A
View_TagName.F1FBOFC2_HVAVA_VH_004_TE00A,Channel2.Device1.View_TagName.F1FBOFC2_HVAVA_VH_004_TE00A,,,,F1FBOFC2_HVAVA_VH_004_TE00A
View_TagName.F1FBOFC2_HVAVA_VV_001_TE00A,Channel2.Device1.View_TagName.F1FBOFC2_HVAVA_VV_001_TE00A,,,,F1FBOFC2_HVAVA_VV_001_TE00A
View_TagName.F1FBOFC2_HVAVA_VV_002_TE00A,Channel2.Device1.View_TagName.F1FBOFC2_HVAVA_VV_002_TE00A,,,,F1FBOFC2_HVAVA_VV_002_TE00A
View_TagName.F1FBOFC2_HVAVA_VV_003_TE00A,Channel2.Device1.View_TagName.F1FBOFC2_HVAVA_VV_003_TE00A,,,,F1FBOFC2_HVAVA_VV_003_TE00A
View_TagName.F1FBOFC2_HVAVA_VV_004_TE00A,Channel2.Device1.View_TagName.F1FBOFC2_HVAVA_VV_004_TE00A,,,,F1FBOFC2_HVAVA_VV_004_TE00A
View_TagName.F1FBOFC2_HVAVA_VV_005_TE00A,Channel2.Device1.View_TagName.F1FBOFC2_HVAVA_VV_005_TE00A,,,,F1FBOFC2_HVAVA_VV_005_TE00A
View_TagName.F1FBOFC2_HVAVA_VV_006_TE00A,Channel2.Device1.View_TagName.F1FBOFC2_HVAVA_VV_006_TE00A,,,,F1FBOFC2_HVAVA_VV_006_TE00A
View_TagName.F1FBOFC2_HVAVA_VV_007_TE00A,Channel2.Device1.View_TagName.F1FBOFC2_HVAVA_VV_007_TE00A,,,,F1FBOFC2_HVAVA_VV_007_TE00A
View_TagName.F1FBOFD1_HVAVA_VH_001_TE00A,Channel2.Device1.View_TagName.F1FBOFD1_HVAVA_VH_001_TE00A,,,,F1FBOFD1_HVAVA_VH_001_TE00A
View_TagName.F1FBOFD1_HVAVA_VH_002_TE00A,Channel2.Device1.View_TagName.F1FBOFD1_HVAVA_VH_002_TE00A,,,,F1FBOFD1_HVAVA_VH_002_TE00A
